City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Hualmay,PE,2022-07-14 11:52:14,-11.0964,-77.6139,58.96,85,69,9.82
120,Inyonga,TZ,2022-07-14 11:52:14,-6.7167,32.0667,85.3,20,7,5.48
121,Fort Nelson,CA,2022-07-14 11:50:24,58.8053,-122.7002,47.79,87,40,5.75
122,Korla,CN,2022-07-14 11:52:14,41.7597,86.1469,87.15,24,99,14.05
123,Mocuba,MZ,2022-07-14 11:52:15,-16.8392,36.9856,78.04,48,0,4.68
124,Henties Bay,NA,2022-07-14 11:50:30,-22.116,14.2845,63.86,66,0,11.88
125,Saldanha,ZA,2022-07-14 11:52:15,-33.0117,17.9442,59.05,83,55,8.5
126,Howard Springs,AU,2022-07-14 11:52:15,-12.497,131.047,66.11,74,6,4.23
127,Andenes,NO,2022-07-14 11:52:16,69.3143,16.1194,53.58,94,100,14.97
128,Osoyoos,CA,2022-07-14 11:52:16,49.0331,-119.4524,63.01,51,20,3.44
129,Faanui,PF,2022-07-14 11:52:16,-16.4833,-151.75,78.4,69,7,21.97
130,Maltahohe,NA,2022-07-14 11:52:17,-24.8333,16.9833,69.67,18,0,10.94
131,Broome,US,2022-07-14 11:52:17,42.2506,-75.833,64.65,95,100,4.61
132,Hermanus,ZA,2022-07-14 11:51:39,-34.4187,19.2345,60.8,75,56,9.82
133,Roros,NO,2022-07-14 11:52:17,62.5747,11.3842,48.04,71,75,12.66
134,Victoria,HK,2022-07-14 11:49:04,22.2855,114.1577,90.18,75,95,8.01
135,Planadas,CO,2022-07-14 11:52:18,3.197,-75.6451,64.83,85,63,3.62
136,Igarka,RU,2022-07-14 11:52:18,67.4667,86.5833,61.21,45,86,4.76
137,Qaanaaq,GL,2022-07-14 11:52:18,77.484,-69.3632,41.86,90,95,7.85
138,Arraial Do Cabo,BR,2022-07-14 11:47:36,-22.9661,-42.0278,71.56,88,40,4.61
139,Sao Filipe,CV,2022-07-14 11:52:19,14.8961,-24.4956,74.07,79,36,8.21
140,Pisco,PE,2022-07-14 11:52:19,-13.7,-76.2167,53.02,87,13,0.0
141,Sao Joao Da Barra,BR,2022-07-14 11:52:20,-21.6403,-41.0511,71.69,78,15,3.74
142,Nanortalik,GL,2022-07-14 11:52:20,60.1432,-45.2371,46.74,94,100,20.45
143,Ishigaki,JP,2022-07-14 11:52:20,24.3448,124.1572,84.33,89,20,10.36
144,Khawhai,IN,2022-07-14 11:52:20,23.3667,93.1167,68.43,89,69,1.57
145,Zastron,ZA,2022-07-14 11:52:21,-30.3023,27.084,57.45,19,0,6.58
146,Pouebo,NC,2022-07-14 11:52:21,-20.4,164.5667,69.04,63,94,8.93
147,Bandundu,CD,2022-07-14 11:52:21,-3.3167,17.3667,98.38,19,57,4.59
148,Sinnamary,GF,2022-07-14 11:52:22,5.3833,-52.95,78.24,88,99,11.45
149,Manbij,SY,2022-07-14 11:52:22,36.5281,37.9549,102.63,8,0,9.04
150,Tongliao,CN,2022-07-14 11:52:22,43.6125,122.2653,67.51,89,71,2.71
151,Lompoc,US,2022-07-14 11:52:23,34.6391,-120.4579,58.59,94,100,1.99
152,Hurghada,EG,2022-07-14 11:52:23,27.2574,33.8129,91.44,35,0,20.71
