City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Esperance,AU,2022-07-15 23:28:58,-33.8667,121.9,58.42,77,98,11.79,overcast clouds
127,Puerto Madero,MX,2022-07-15 23:28:58,14.7208,-92.4215,75.4,100,100,6.91,overcast clouds
128,Santa Maria,BR,2022-07-15 23:24:51,-29.6842,-53.8069,61.9,100,0,4.61,clear sky
129,Cidreira,BR,2022-07-15 23:28:59,-30.1811,-50.2056,62.42,97,94,9.51,overcast clouds
130,Kudahuvadhoo,MV,2022-07-15 23:28:59,2.6708,72.8944,82.42,76,92,9.28,overcast clouds
131,Sao Jose Da Coroa Grande,BR,2022-07-15 23:28:59,-8.8978,-35.1478,74.95,84,1,10.47,clear sky
132,Mahebourg,MU,2022-07-15 23:29:00,-20.4081,57.7,68.25,94,75,11.5,broken clouds
133,Thohoyandou,ZA,2022-07-15 23:29:00,-22.9456,30.485,59.13,67,100,5.17,overcast clouds
134,Vasilyevskiy Mokh,RU,2022-07-15 23:29:00,57.0132,35.919,50.38,94,42,5.66,scattered clouds
135,Pogar,RU,2022-07-15 23:29:01,52.554,33.2591,52.63,95,0,7.25,clear sky
136,Simbahan,PH,2022-07-15 23:29:01,6.3032,120.5836,81.39,76,72,6.31,broken clouds
137,Cherskiy,RU,2022-07-15 23:29:01,68.75,161.3,60.51,34,75,4.7,broken clouds
138,Santa Isabel,BR,2022-07-15 23:29:02,-23.3156,-46.2214,69.51,59,100,3.33,overcast clouds
139,Miles City,US,2022-07-15 23:29:02,46.4083,-105.8406,97.77,23,0,5.75,clear sky
140,Cartagena Del Chaira,CO,2022-07-15 23:29:03,1.3349,-74.8429,77.4,83,77,3.58,broken clouds
141,Grass Valley,US,2022-07-15 23:29:03,39.2191,-121.0611,96.96,20,0,3.0,clear sky
142,Santa Cruz Del Sur,CU,2022-07-15 23:29:04,20.7147,-77.9956,83.3,72,98,7.0,overcast clouds
143,Longyearbyen,SJ,2022-07-15 23:29:04,78.2186,15.6401,55.24,62,75,11.5,light rain
144,Victoria,HK,2022-07-15 23:24:16,22.2855,114.1577,87.96,88,100,8.01,overcast clouds
145,Hilo,US,2022-07-15 23:28:50,19.7297,-155.09,91.27,82,75,10.36,broken clouds
146,Manado,ID,2022-07-15 23:29:05,1.487,124.8455,77.77,83,20,2.3,few clouds
147,Zhicheng,CN,2022-07-15 23:29:05,30.2956,111.5047,83.48,79,100,1.45,overcast clouds
148,Pagudpud,PH,2022-07-15 23:29:05,18.5616,120.7868,81.93,79,98,7.18,overcast clouds
149,Ilulissat,GL,2022-07-15 23:29:06,69.2167,-51.1,44.62,87,20,3.44,fog
150,Aykhal,RU,2022-07-15 23:29:06,66.0,111.5,50.76,98,100,11.65,light rain
151,Port Lincoln,AU,2022-07-15 23:29:07,-34.7333,135.8667,54.48,57,77,21.79,broken clouds
152,Port Hedland,AU,2022-07-15 23:29:07,-20.3167,118.5667,51.85,58,5,6.91,clear sky
153,Dikson,RU,2022-07-15 23:29:07,73.5069,80.5464,45.19,77,89,8.84,overcast clouds
154,Durham,US,2022-07-15 23:26:15,36.0335,-78.8664,82.53,85,75,3.44,broken clouds
155,Barrow,US,2022-07-15 23:29:08,71.2906,-156.7887,39.22,81,100,13.8,overcast clouds
156,Mayumba,GA,2022-07-15 23:29:08,-3.432,10.6554,69.26,94,12,3.18,few clouds
157,Yabrud,SY,2022-07-15 23:29:09,33.9674,36.6574,66.45,53,0,1.25,clear sky
158,Andenes,NO,2022-07-15 23:29:09,69.3143,16.1194,49.98,87,100,8.05,overcast clouds
159,Haines Junction,CA,2022-07-15 23:29:10,60.7522,-137.5108,60.75,67,100,2.3,overcast clouds
160,Japura,ID,2022-07-15 23:29:10,-0.3167,102.35,72.25,98,78,2.53,broken clouds
161,Hannibal,US,2022-07-15 23:25:51,39.7084,-91.3585,88.72,51,0,4.61,clear sky
162,Aljezur,PT,2022-07-15 23:29:11,37.3191,-8.8033,65.75,86,11,7.9,few clouds
163,Vila Velha,BR,2022-07-15 23:29:11,-20.3297,-40.2925,71.55,88,20,3.44,few clouds
164,Jutai,BR,2022-07-15 23:29:11,-5.1833,-68.9,79.29,74,100,0.83,overcast clouds
165,Maarianhamina,AX,2022-07-15 23:29:12,60.0973,19.9348,51.66,87,75,9.22,broken clouds
166,Vostok,RU,2022-07-15 23:29:12,46.4856,135.8833,60.89,83,100,4.59,overcast clouds
167,Puerto Ayacucho,VE,2022-07-15 23:29:12,5.6639,-67.6236,76.46,91,93,5.35,overcast clouds
168,Churapcha,RU,2022-07-15 23:29:13,62.0025,132.4325,74.73,71,64,1.34,broken clouds
169,Ondjiva,AO,2022-07-15 23:29:13,-17.0667,15.7333,55.71,34,0,8.14,clear sky
170,Qaanaaq,GL,2022-07-15 23:29:14,77.484,-69.3632,51.12,60,58,8.48,broken clouds
171,Angoche,MZ,2022-07-15 23:29:14,-16.2325,39.9086,66.87,84,0,11.86,clear sky
172,Sisimiut,GL,2022-07-15 23:29:15,66.9395,-53.6735,41.14,83,95,10.45,overcast clouds
173,Fort Nelson,CA,2022-07-15 23:29:15,58.8053,-122.7002,76.59,33,75,4.61,broken clouds
174,Mosquera,CO,2022-07-15 23:29:15,4.7059,-74.2302,57.29,88,75,14.97,light intensity drizzle
175,Sorland,NO,2022-07-15 23:29:16,67.667,12.6934,48.06,82,100,9.91,overcast clouds
176,Ebolowa,CM,2022-07-15 23:29:16,2.9,11.15,67.17,100,56,2.17,broken clouds
177,Xining,CN,2022-07-15 23:29:16,36.6167,101.7667,57.78,93,100,1.81,overcast clouds
178,Vila Franca Do Campo,PT,2022-07-15 23:29:17,37.7167,-25.4333,70.21,91,49,11.36,scattered clouds
179,Tuatapere,NZ,2022-07-15 23:28:28,-46.1333,167.6833,39.94,84,55,6.08,broken clouds
180,Beringovskiy,RU,2022-07-15 23:29:17,63.05,179.3167,46.62,73,24,5.61,few clouds
181,Vaitape,PF,2022-07-15 23:29:17,-16.5167,-151.75,77.9,57,83,20.69,broken clouds
182,Nanakuli,US,2022-07-15 23:29:18,21.3906,-158.1547,84.15,57,100,9.22,overcast clouds
183,Lensk,RU,2022-07-15 23:29:18,60.7253,114.9278,63.66,99,100,3.36,light rain
184,Afua,BR,2022-07-15 23:29:19,-0.1567,-50.3867,77.29,86,34,7.29,scattered clouds
185,Bousso,TD,2022-07-15 23:29:19,10.4795,16.7117,74.08,92,100,5.75,light rain
186,Honiara,SB,2022-07-15 23:29:20,-9.4333,159.95,84.18,68,45,6.2,scattered clouds
187,Busselton,AU,2022-07-15 23:29:20,-33.65,115.3333,57.83,66,100,1.57,overcast clouds
188,Ancud,CL,2022-07-15 23:29:20,-41.8697,-73.8203,42.22,77,0,3.76,clear sky
189,Eluru,IN,2022-07-15 23:29:21,16.7,81.1,80.83,76,100,10.63,overcast clouds
190,Pulandian,CN,2022-07-15 23:29:21,39.3953,121.9669,74.68,80,2,11.05,clear sky
191,Owando,CG,2022-07-15 23:29:21,-0.4819,15.8999,76.89,60,16,2.89,few clouds
192,Lompoc,US,2022-07-15 23:28:32,34.6391,-120.4579,87.94,70,0,14.97,clear sky
193,Sao Joao Da Barra,BR,2022-07-15 23:29:22,-21.6403,-41.0511,72.03,80,59,18.88,broken clouds
194,Port Hardy,CA,2022-07-15 23:29:22,50.6996,-127.4199,66.38,59,75,6.91,broken clouds
195,Senanga,ZM,2022-07-15 23:27:24,-16.1167,23.2667,55.54,42,0,6.69,clear sky
196,Sur,OM,2022-07-15 23:29:24,22.5667,59.5289,87.6,69,100,6.4,overcast clouds
197,Kloulklubed,PW,2022-07-15 23:29:24,7.0419,134.2556,77.5,81,100,16.24,overcast clouds
198,Touros,BR,2022-07-15 23:27:40,-5.1989,-35.4608,74.89,88,21,13.65,few clouds
199,Tibati,CM,2022-07-15 23:29:24,6.4667,12.6333,66.63,98,100,2.55,moderate rain
200,Norman Wells,CA,2022-07-15 23:29:25,65.282,-126.8329,60.84,59,40,13.8,scattered clouds
201,Cayenne,GF,2022-07-15 23:29:00,4.9333,-52.3333,76.08,1,0,0.0,clear sky
202,Bengbu,CN,2022-07-15 23:29:25,32.9408,117.3608,82.27,86,99,3.02,overcast clouds
203,Kilindoni,TZ,2022-07-15 23:29:26,-7.9139,39.6668,76.44,77,84,17.22,broken clouds
204,Portland,US,2022-07-15 23:25:55,45.5234,-122.6762,85.95,34,20,5.99,few clouds
205,La Paz,BO,2022-07-15 23:29:26,-16.5,-68.15,49.98,11,75,6.91,broken clouds
206,Kincardine,GB,2022-07-15 23:29:26,56.0667,-3.7167,56.52,81,77,1.99,broken clouds
207,Kruisfontein,ZA,2022-07-15 23:29:27,-34.0033,24.7314,53.46,73,95,4.97,overcast clouds
208,Ambovombe,MG,2022-07-15 23:29:27,-25.1667,46.0833,64.67,84,5,10.54,clear sky
209,Altay,CN,2022-07-15 23:29:27,47.8667,88.1167,57.63,37,2,4.52,clear sky
210,Iskateley,RU,2022-07-15 23:29:28,67.6803,53.1512,70.48,75,87,7.78,overcast clouds
211,Okara,PK,2022-07-15 23:29:28,30.8081,73.4458,80.62,76,91,6.4,overcast clouds
212,Mpanda,TZ,2022-07-15 23:29:28,-6.3655,31.0409,63.63,54,50,0.78,scattered clouds
213,Sibolga,ID,2022-07-15 23:29:29,1.7427,98.7792,77.18,89,80,2.62,broken clouds
214,Christchurch,NZ,2022-07-15 23:29:29,-43.5333,172.6333,48.33,66,17,8.05,few clouds
215,Melville,US,2022-07-15 23:29:29,40.7934,-73.4151,80.15,60,0,9.22,clear sky
216,Kaseda,JP,2022-07-15 23:29:30,31.4167,130.3167,82.15,84,76,17.69,broken clouds
217,Awjilah,LY,2022-07-15 23:29:30,29.1081,21.2869,77.02,55,0,15.95,clear sky
218,Saskylakh,RU,2022-07-15 23:29:30,71.9167,114.0833,53.83,54,28,3.96,scattered clouds
219,Kefamenanu,ID,2022-07-15 23:29:31,-9.4467,124.4781,67.05,85,85,3.11,overcast clouds
220,Torbay,CA,2022-07-15 23:29:31,47.6666,-52.7314,65.88,89,75,3.44,broken clouds
221,Isangel,VU,2022-07-15 23:29:31,-19.55,169.2667,73.51,73,100,11.5,overcast clouds
222,Boende,CD,2022-07-15 23:29:32,-0.2167,20.8667,73.08,83,40,1.05,scattered clouds
223,Dumas,US,2022-07-15 23:27:17,35.8656,-101.9732,100.62,16,0,5.75,clear sky
224,Kashi,CN,2022-07-15 23:29:32,39.4547,75.9797,69.01,52,0,8.95,clear sky
225,Bacungan,PH,2022-07-15 23:29:32,9.9106,118.7022,78.85,89,40,4.61,scattered clouds
226,Praya,CV,2022-07-15 23:29:33,14.9215,-23.5087,75.74,78,40,10.36,scattered clouds
227,Iqaluit,CA,2022-07-15 23:24:54,63.7506,-68.5145,67.73,42,20,24.16,few clouds
228,Gedo,ET,2022-07-15 23:29:33,9.0167,37.45,49.59,97,99,1.81,overcast clouds
229,Bandarbeyla,SO,2022-07-15 23:29:34,9.4942,50.8122,79.43,73,95,30.02,overcast clouds
230,Oranjemund,NA,2022-07-15 23:29:34,-28.55,16.4333,66.83,33,0,5.12,clear sky
231,Visnes,NO,2022-07-15 23:29:34,59.3556,5.2242,53.65,82,75,17.27,light rain
232,Garowe,SO,2022-07-15 23:29:35,8.4054,48.4845,76.12,69,71,24.11,broken clouds
233,Lahij,YE,2022-07-15 23:29:35,13.1667,44.5833,85.3,54,100,3.8,overcast clouds
234,Alta,NO,2022-07-15 23:29:35,69.9689,23.2717,56.46,77,100,14.97,overcast clouds
235,Merauke,ID,2022-07-15 23:29:36,-8.4667,140.3333,75.27,77,100,14.03,overcast clouds
236,Hofn,IS,2022-07-15 23:29:36,64.2539,-15.2082,50.92,85,88,5.91,overcast clouds
237,Mataro,ES,2022-07-15 23:29:36,41.5421,2.4445,88.84,41,0,5.99,clear sky
238,Half Moon Bay,US,2022-07-15 23:29:37,37.4636,-122.4286,82.87,74,100,24.16,overcast clouds
239,Itaituba,BR,2022-07-15 23:29:37,-4.2761,-55.9836,79.07,75,86,2.48,overcast clouds
240,East London,ZA,2022-07-15 23:29:37,-33.0153,27.9116,60.04,71,4,13.02,clear sky
241,Myitkyina,MM,2022-07-15 23:29:38,25.3833,97.4,76.06,99,45,0.54,scattered clouds
242,Talara,PE,2022-07-15 23:29:38,-4.5772,-81.2719,64.92,79,1,22.57,clear sky
243,Salalah,OM,2022-07-15 23:29:38,17.0151,54.0924,77.99,91,100,9.95,light rain
244,Waipawa,NZ,2022-07-15 23:29:38,-41.4122,175.5153,46.13,70,71,8.16,broken clouds
245,Tasiilaq,GL,2022-07-15 23:29:39,65.6145,-37.6368,48.36,71,100,12.26,overcast clouds
246,Port Elizabeth,ZA,2022-07-15 23:24:59,-33.918,25.5701,52.09,93,0,3.44,clear sky
247,Asosa,ET,2022-07-15 23:29:39,10.0667,34.5333,59.38,96,95,2.3,overcast clouds
248,Sitka,US,2022-07-15 23:29:39,57.0531,-135.33,55.29,88,100,4.61,overcast clouds
249,Lavrentiya,RU,2022-07-15 23:26:09,65.5833,-171.0,47.32,59,10,3.2,clear sky
250,Lagoa,PT,2022-07-15 23:29:40,39.05,-27.9833,69.04,92,34,12.55,scattered clouds
251,Fioletovo,AM,2022-07-15 23:29:40,40.7224,44.7177,56.84,79,0,1.43,clear sky
252,Bambous Virieux,MU,2022-07-15 23:29:40,-20.3428,57.7575,68.22,94,75,11.5,light rain
253,Iralaya,HN,2022-07-15 23:29:41,15.0,-83.2333,81.12,81,100,8.12,overcast clouds
254,Kasongo-Lunda,CD,2022-07-15 23:29:41,-6.4667,16.8167,70.16,38,50,0.87,scattered clouds
255,Megion,RU,2022-07-15 23:29:41,61.0296,76.1136,50.02,76,98,6.46,light rain
256,Thompson,CA,2022-07-15 23:29:42,55.7435,-97.8558,82.56,32,20,10.36,few clouds
257,Wawa,NG,2022-07-15 23:29:42,9.9022,4.4192,74.32,89,100,8.01,light rain
258,Robertsport,LR,2022-07-15 23:29:42,6.7533,-11.3686,76.75,84,100,12.33,light rain
259,Petropavlovsk-Kamchatskiy,RU,2022-07-15 23:29:43,53.0452,158.6483,73.99,60,0,11.18,clear sky
260,San Cristobal,VE,2022-07-15 23:29:43,7.7669,-72.225,75.38,86,41,3.4,scattered clouds
261,Muroto,JP,2022-07-15 23:29:43,33.2833,134.15,76.5,90,100,6.51,overcast clouds
