City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Tibati,CM,66.63,moderate rain,6.4667,12.6333,Tibati Hotel
201,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
202,Bengbu,CN,82.27,overcast clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
203,Kilindoni,TZ,76.44,broken clouds,-7.9139,39.6668,Bustani B&B
204,Portland,US,85.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
210,Iskateley,RU,70.48,overcast clouds,67.6803,53.1512,Hostel Agat
211,Okara,PK,80.62,overcast clouds,30.8081,73.4458,Ali mobile al aziz palaza Shop #6 Venus chows Okara
213,Sibolga,ID,77.18,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
215,Melville,US,80.15,clear sky,40.7934,-73.4151,Marriott Melville Long Island
216,Kaseda,JP,82.15,broken clouds,31.4167,130.3167,Sun Stay Kaseda
217,Awjilah,LY,77.02,clear sky,29.1081,21.2869,المنزل
219,Kefamenanu,ID,67.05,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
220,Torbay,CA,65.88,broken clouds,47.6666,-52.7314,Gallows Cove
221,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
224,Kashi,CN,69.01,clear sky,39.4547,75.9797,帕米尔青年旅舍
225,Bacungan,PH,78.85,scattered clouds,9.9106,118.7022,Sumayang Property
226,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
227,Iqaluit,CA,67.73,few clouds,63.7506,-68.5145,Frobisher Inn
229,Bandarbeyla,SO,79.43,overcast clouds,9.4942,50.8122,JABIR HOTEL
232,Garowe,SO,76.12,broken clouds,8.4054,48.4845,Curubo Hotel
237,Mataro,ES,88.84,clear sky,41.5421,2.4445,URH Ciutat de Mataró
238,Half Moon Bay,US,82.87,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
239,Itaituba,BR,79.07,overcast clouds,-4.2761,-55.9836,Hotel Campos
241,Myitkyina,MM,76.06,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
243,Salalah,OM,77.99,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
250,Lagoa,PT,69.04,scattered clouds,39.05,-27.9833,Casa Das Faias
252,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
253,Iralaya,HN,81.12,overcast clouds,15.0,-83.2333,Iglesia morava renovada
256,Thompson,CA,82.56,few clouds,55.7435,-97.8558,Burntwood Hotel
258,Robertsport,LR,76.75,light rain,6.7533,-11.3686,Kwepunha Retreat
259,Petropavlovsk-Kamchatskiy,RU,73.99,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
260,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
261,Muroto,JP,76.5,overcast clouds,33.2833,134.15,Oota Ryokan
262,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
266,Luganville,VU,78.48,broken clouds,-15.5333,167.1667,The Espiritu Hotel
267,Erenhot,CN,76.21,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
271,Pontivy,FR,65.28,broken clouds,48.0,-3.0,Frairie du Divit - Chambres d'hôtes à Pontivy dans le Morbihan (small hotel near Pontivy)
272,Leshukonskoye,RU,65.52,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
273,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
274,Turan,VN,80.58,clear sky,16.0678,108.2208,Grand Mercure Danang
277,Eureka,US,81.68,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
282,Jardim,BR,77.22,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
285,Innisfail,AU,70.65,broken clouds,-17.5333,146.0333,Moondarra Motel
286,Kota Belud,MY,77.65,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
288,Sudbury,CA,72.57,overcast clouds,46.49,-80.99,Travelway Inn Sudbury
289,Namatanai,PG,82.35,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
290,Mitzic,GA,66.13,scattered clouds,0.7821,11.549,Motel Emys
292,Dibulla,CO,79.0,few clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
294,Keti Bandar,PK,82.54,overcast clouds,24.1447,67.4497,Haji laloo memon house
295,Mogadishu,SO,76.12,overcast clouds,2.0371,45.3438,Hotel Juba
296,Puerto Rico,AR,72.12,overcast clouds,-26.796,-55.024,Hotel Cabañas del Prado
298,Humaita,BR,84.18,few clouds,-7.5061,-63.0208,Corrêa Hotel
300,Bahia Honda,CU,83.14,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
301,Hekinan,JP,80.19,moderate rain,34.8833,136.9833,Tsuruya
302,Lorengau,PG,82.4,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Sungairaya,ID,77.54,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
306,Florianopolis,BR,67.41,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
307,Zalantun,CN,68.34,light rain,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
308,Hamilton,US,84.09,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
311,Binzhou,CN,82.4,broken clouds,37.3667,118.0167,Hampton By Hilton Binzhou
312,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
315,Buala,SB,83.52,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
316,Quatre Cocos,MU,68.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
322,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
324,Quelimane,MZ,66.15,broken clouds,-17.8786,36.8883,Hotel Flamingo
325,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
326,Hasaki,JP,75.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
328,Joshimath,IN,68.77,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
329,Hirara,JP,85.86,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
331,Kalmunai,LK,79.43,overcast clouds,7.4167,81.8167,VS Villa
333,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
334,Namibe,AO,65.35,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
335,Coahuayana,MX,80.06,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
336,Reni,UA,70.32,scattered clouds,45.4573,28.2932,"Gostinitsa ""Iuzhnyi"""
337,Carballo,ES,65.89,broken clouds,43.213,-8.691,Pazo do Souto
338,Solnechnyy,RU,74.19,broken clouds,50.7214,136.6319,Hotel complex Pastoral
341,Sabha,LY,79.18,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
343,Cape Coast,GH,75.29,light rain,5.1053,-1.2466,Samrit Hotel
344,Faanui,PF,77.7,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Aguimes,ES,68.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
346,Maragogi,BR,74.32,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
348,Ariquemes,BR,81.05,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
352,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
353,Houston,US,89.42,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
355,Shimoda,JP,77.36,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
356,Fethiye,TR,73.27,clear sky,36.6217,29.1164,Club & Hotel Letoonia
357,Balikpapan,ID,79.79,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
358,La Paz Centro,NI,81.12,overcast clouds,12.34,-86.6753,Quinta Momotombo
360,Port Blair,IN,78.84,thunderstorm,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
361,Chifeng,CN,72.23,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
362,Champerico,GT,77.54,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
363,North Bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
364,Tevaitoa,PF,77.45,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
365,Karpathos,GR,73.36,clear sky,35.507,27.2132,Alex
371,Ambon,ID,81.23,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
374,Luocheng,CN,77.76,overcast clouds,29.3848,104.0286,Luocheng Hotel
376,Bilma,NE,81.57,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
381,Nocupetaro,MX,82.0,broken clouds,19.05,-101.15,"Hotel ""La Casa Embrujada"""
388,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
389,Eyl,SO,79.84,scattered clouds,7.9803,49.8164,Amiin Hotel
391,Macau,MO,86.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
395,Tura,IN,74.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
396,Ripoll,ES,72.37,clear sky,42.2006,2.1903,Hotel Solana Del Ter
397,Abha,SA,71.42,scattered clouds,18.2164,42.5053,Abha Hotel
398,Korla,CN,75.52,light rain,41.7597,86.1469,Gulisitan Hotel
401,Siderno,IT,74.34,clear sky,38.2779,16.302,Grand Hotel President
402,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
403,Portobelo,PA,82.96,broken clouds,9.55,-79.65,Scuba Portobelo
405,Flin Flon,CA,85.84,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
